sid,n,era5,cerra,headroom,name,country,elev,offset_km,era5_offset_km
22912099999,2198.0,1.6006004938402643,0.9324492526031666,0.6681512412370977,OLONEC,Russia,12.0,2.2425378152371365,2.1439125288148695
22913099999,2899.0,1.2816654269637509,0.9576816735380989,0.323983753425652,LODEJNOE POLE,Russia,23.0,3.175787619434664,4.65538935647329
22917099999,2900.0,1.1086887466824558,0.7576167541291773,0.3510719925532785,NOVAJA LADOGA,Russia,9.0,1.5200304717005282,13.760385444060432
22925099999,2889.0,1.1201181684369383,0.7046988278561601,0.41541934058077823,VINNICY,Russia,111.0,1.5094709436065674,13.386941474963923
22939099999,2906.0,1.1818340838531831,0.730755413169768,0.4510786706834151,BELOZERSK,Russia,131.0,2.9154814487009344,1.9220545112607532
26038099999,2909.0,1.0361780533307867,1.036893930857331,-0.0007158775265443396,LENNART MERI TALLINN,Estonia,39.9,1.424120906269217,10.91111259179451
26038199999,897.0,0.9714020223882389,0.5654420256105277,0.4059599967777112,PARNU,Estonia,47.0,0.8935722714673477,9.53781404819777
26045099999,2911.0,1.2336849294070453,1.0897408709412664,0.14394405846577896,KUNDA,Estonia,3.0,1.2781288768751138,3.4470120792942716
26046099999,2909.0,1.342739079561699,0.8567786912277578,0.48596038833394106,JOHVI,Estonia,75.0,3.150930877518272,11.534977451292116
26058099999,2910.0,1.630875820360757,0.8282810887302374,0.8025947316305195,NARVA-JOESUU,Estonia,29.9,2.3431250803633046,14.21099999493385
26059099999,2908.0,0.9472369526878022,0.7719779385555299,0.1752590141322723,KINGISEPP,Russia,19.0,2.6353545381626318,14.398425516723492
26063099999,2916.0,1.736458870027274,1.4404265571769137,0.29603231285036036,PULKOVO,Russia,24.1,2.038807234093115,5.696730771719078
26069099999,2900.0,1.0458536968415435,0.7701005424770013,0.2757531543645422,BELOGORKA,Russia,90.0,0.573352575215791,13.13849098781427
26072099999,2910.0,1.0332231151760285,0.7363447892559417,0.2968783259200868,SHLISSEL'BURG,Russia,17.0,0.5899410752080447,7.574047920692499
26078099999,2851.0,0.8623001545449358,0.6960184297625742,0.16628172478236158,LJUBAN',Russia,39.0,1.9902074044335611,11.321809117736198
26080099999,2908.0,0.9591146356074759,0.8130759472870632,0.14603868832041267,KIRISHI,Russia,26.0,2.001989377994616,5.9515227216194715
26094099999,2898.0,1.0911309067708106,0.8491507951302968,0.2419801116405138,TIHVIN,Russia,61.0,0.561814202568659,11.648068972531695
26099099999,2834.0,1.0028725861902619,0.6924406997987449,0.310431886391517,EFIMOVSKAJA,Russia,176.0,1.3814604824044432,2.864224338677706
26134099999,2910.0,0.8423386349637394,0.7415048784920928,0.10083375647164661,KUUSIKU,Estonia,52.0,1.905273358824994,3.847280713347396
26135099999,2874.0,0.792783305695089,0.6179220116892168,0.17486129400587225,TURI,Estonia,65.0,2.2588638497977014,8.966335671625432
