sid,name,country,lat,lon,elev,y_idx,x_idx,cell_lat,cell_lon,offset_km,fold
22820099999,PETROZAVODSK,Russia,61.817,34.267,110.0,99,79,61.792185099659974,34.29505907008556,3.203111491688335,0
26258099999,PSKOV,Russia,57.784,28.396,46.9,2,46,57.78902246725935,28.37306089176201,1.4845295889773742,4
22831099999,PUDOZ,Russia,61.8,36.583,44.0,107,100,61.78899251026474,36.591902702124,1.341596265840844,0
26063099999,PULKOVO,Russia,59.8,30.263,24.1,47,54,59.78810013836213,30.289965370286325,2.038807234093115,4
26072099999,SHLISSEL'BURG,Russia,59.933,31.0,17.0,52,60,59.933341493581494,30.989604920493292,0.5899410752080447,2
22802099999,SORTAVALA,Russia,61.717,30.717,19.0,86,46,61.71012309694311,30.67787174219427,2.2506780108344566,3
26275099999,STARAYA RUSSA,Russia,58.017,31.317,25.0,16,75,58.03679530834071,31.304423917026128,2.346898391521979,2
26264099999,STRUGI KRASNYE,Russia,58.267,29.1,129.0,14,51,58.28688586446118,29.121525092438674,2.5729390790587985,4
22717099999,SUOYARVI,Russia,62.1,32.383,156.0,99,59,62.11295410542733,32.35810568135423,1.985838591191506,3
26094099999,TIHVIN,Russia,59.65,33.55,61.0,55,87,59.65258692018717,33.558410907002724,0.561814202568659,2
27106099999,USTYUZHNA,Russia,58.85,36.433,125.0,50,121,58.83881668295815,36.42405877432316,1.363128382182482,2
22805099999,VALAAM,Russia,61.367,30.883,16.0,80,50,61.37529469131688,30.88254342684857,0.9429832613620712,3
22925099999,VINNICY,Russia,60.633,34.783,111.0,78,92,60.61983067187725,34.78708626465166,1.5094709436065674,0
26067099999,VOLOSOVO,Russia,59.433,29.5,129.0,38,48,59.45265515864857,29.486548738551676,2.3484251269716534,4
22892099999,VYBORG,Russia,60.717,28.733,13.0,61,33,60.730002269521954,28.705712845694876,2.1119798768762332,1
26393099999,VYSNIJ VOLOCEK,Russia,57.55,34.567,169.0,18,112,57.536100981459946,34.576983290846556,1.671734165412631,2
22837099999,VYTEGRA,Russia,61.017,36.45,56.0,92,105,61.0252756710369,36.496225008149,2.7095608203598585,0
